requisito,fase,responsable,estado,fecha_compromiso
REQ-001,F04,Salazar,cumplido_con_reserva,
REQ-002,F03,Salazar,cumplido,
REQ-003,F03,Salazar,cumplido,
REQ-004,F05,Salazar,cumplido,
REQ-005,F08,Salazar y Sauñe,no_cumplido,2026-10-24
REQ-006,F02,Sauñe,parcial,2026-09-19
REQ-007,F09,Salazar,cumplido,
REQ-008,F09,Salazar,cumplido,
REQ-009,F09,Salazar,cumplido,
REQ-010,F09,Salazar,cumplido,
REQ-011,F05,Salazar,cumplido,
REQ-012,F04,Salazar,parcial,
REQ-013,F08,Salazar y Sauñe,no_cumplido,2026-09-09
REQ-014,F06,Salazar,cumplido,
REQ-015,F09,Salazar,cumplido,
REQ-016,F09,Salazar,cumplido,
